probe,id,name,type,url,http,items,newest,verdict,detail
ci3,npr,NPR Middle East,rss,https://feeds.npr.org/1009/rss.xml,200,10,"Sat, 15 Aug 2026 14:21:32 -0400",OK,text/xml
ci3,france24,France24 Middle East,rss,https://www.france24.com/en/middle-east/rss,200,29,"Sun, 16 Aug 2026 13:00:14 GMT",OK,application/rss+xml
ci3,mee,Middle East Eye,rss,http://www.middleeasteye.net/rss,200,0,,EMPTY,application/rss+xml
ci3,iran_international,Iran International,rss,https://www.iranintl.com/en/feed,200,50,"Sun, 16 Aug 2026 11:08:00 GMT",OK,application/xml
ci3,al_monitor,Al-Monitor General,rss,https://www.al-monitor.com/rss,200,20,2026-08-16T08:46:40-0400,OK,application/rss+xml
ci3,wotr,War on the Rocks,rss,https://warontherocks.com/feed/,200,100,"Fri, 14 Aug 2026 07:30:30 +0000",OK,application/rss+xml
ci3,dw,DW English,rss,https://rss.dw.com/rdf/rss-en-all,200,137,2026-08-16T14:21:41Z,OK,text/xml
ci3,cnbc,CNBC World,rss,https://www.cnbc.com/id/100003114/device/rss/rss.html,200,30,"Sun, 16 Aug 2026 13:51 GMT",OK,application/xml
ci3,oilprice,OilPrice Main,rss,https://oilprice.com/rss/main,200,15,"Sun, 16 Aug 2026 09:22:30 -0500",OK,rss+xml
ci3,seeking_alpha,Seeking Alpha,rss,https://seekingalpha.com/feed.xml,200,30,"Sun, 16 Aug 2026 10:15:00 -0400",OK,application/xml
ci3,irna,IRNA English,rss,https://en.irna.ir/rss,200,30,"Sun, 16 Aug 2026 14:00:15 GMT",OK,application/rss+xml
ci3,tehran_times,Tehran Times,rss,https://www.tehrantimes.com/rss,200,30,"Sun, 16 Aug 2026 13:48:48 GMT",OK,application/rss+xml
ci3,mehr,Mehr News Agency,rss,https://en.mehrnews.com/rss,200,30,"Sun, 16 Aug 2026 14:20:00 GMT",OK,application/rss+xml
ci3,haaretz,Haaretz English,rss,https://www.haaretz.com/srv/israel-news-rss,200,20,"Sun, 16 Aug 2026 15:18:40 +0300",OK,text/xml
ci3,tg_geopolitics_prime,Geopolitics Prime,telegram,https://t.me/s/geopolitics_prime,200,13,,OK,text/html
ci3,tg_militarywave,Military Wave,telegram,https://t.me/s/militarywave,200,20,,OK,text/html
ci3,tg_geopwatch,Geopolitics Watch,telegram,https://t.me/s/GeoPWatch,200,13,,OK,text/html
ci3,bbc_en,BBC World News,rss,https://feeds.bbci.co.uk/news/world/rss.xml,200,30,"Sun, 16 Aug 2026 10:52:08 GMT",OK,text/xml
ci3,bbc_en_me,BBC Middle East,rss,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml,200,44,"Sat, 15 Aug 2026 20:21:14 GMT",OK,text/xml
ci3,bbc_persian,BBC Persian,rss,https://feeds.bbci.co.uk/persian/rss.xml,200,29,"Sun, 16 Aug 2026 11:10:31 GMT",OK,text/xml
ci3,al_jazeera,Al Jazeera All,rss,https://www.aljazeera.com/xml/rss/all.xml,200,25,"Sun, 16 Aug 2026 13:19:35 +0000",OK,application/rss+xml
ci3,times_of_israel,Times of Israel,rss,https://www.timesofisrael.com/feed/,403,0,,HTTP_ERROR,Forbidden
ci3,ynet,Ynet News,rss,https://www.ynetnews.com/Integration/StoryRss3082.xml,200,30,,OK,application/xml
ci3,amwaj,Amwaj Media,rss,https://amwaj.media/feed,500,0,,HTTP_ERROR,Internal Server Error
ci3,amwaj_alt,Amwaj Media alt,rss,https://amwaj.media/rss,429,0,,HTTP_ERROR,Too Many Requests
ci3,naval_news,Naval News,rss,https://www.navalnews.com/feed/,200,10,"Sun, 16 Aug 2026 07:44:52 +0000",OK,application/rss+xml
ci3,the_war_zone,The War Zone,rss,https://www.twz.com/feed,200,23,"Fri, 14 Aug 2026 17:55:00 -0400",OK,application/rss+xml
ci3,aviationist,The Aviationist,rss,https://theaviationist.com/feed/,200,15,"Sun, 16 Aug 2026 10:30:42 +0000",OK,application/rss+xml
ci3,isw,ISW Publications,rss,https://www.understandingwar.org/feeds/publications.xml,404,0,,HTTP_ERROR,Not Found
ci3,isw_alt,ISW alt,rss,https://www.understandingwar.org/rss.xml,403,0,,HTTP_ERROR,Forbidden
ci3,iaea,IAEA Top News,rss,https://www.iaea.org/feeds/topnews.rss,404,0,,HTTP_ERROR,Not Found
ci3,centcom,US CENTCOM Releases,rss,https://www.centcom.mil/DesktopModules/ArticleCS/RSS.ashx?ContentType=1&Site=1160&max=25,200,25,"Wed, 12 Aug 2026 18:53:52 GMT",OK,text/xml
ci3,centcom_alt,US CENTCOM alt,rss,https://www.centcom.mil/NEWS/rss.xml,403,0,,HTTP_ERROR,Forbidden
ci3,state_dept_travel,State Dept Travel Advisories,rss,https://travel.state.gov/_res/rss/TAsTWs.xml,200,125,"Sun, 16 Aug 2026 14:22:06 GMT",OK,text/xml
ci3,ukmto,UKMTO Advisories,rss,https://www.ukmto.org/feed,403,0,,HTTP_ERROR,Forbidden
ci3,ukmto_alt,UKMTO alt,rss,https://www.ukmto.org/rss,403,0,,HTTP_ERROR,Forbidden
ci3,safeairspace,SafeAirspace Conflict Zones,rss,https://safeairspace.net/feed/,200,0,,EMPTY,application/rss+xml
ci3,radio_farda,Radio Farda English,rss,https://en.radiofarda.com/api/zrqiteuuir,200,0,,EMPTY,text/xml
ci3,radio_farda_alt,Radio Farda alt,rss,https://en.radiofarda.com/z/20035/rss.xml,404,0,,HTTP_ERROR,Not Found
ci3,rferl_iran,RFE/RL main,rss,https://www.rferl.org/api/zkvypeuiiq,200,0,,EMPTY,text/plain
ci3,press_tv,Press TV,rss,https://www.presstv.ir/rss.xml,,0,,TLS,SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)
ci3,tasnim,Tasnim News,rss,https://www.tasnimnews.com/en/rss/feed/0/8/0/,,0,,DNS,gaierror: [Errno -2] Name or service not known
ci3,financial_tribune,Financial Tribune,rss,https://financialtribune.com/rss.xml,200,0,,NOT_FEED,text/html
ci3,iranwire,IranWire,rss,https://iranwire.com/en/feed/,200,472,"Thu, 16 Jul 2026 07:38:39 +0000",OK,application/rss+xml
ci3,trading_economics,Trading Economics,rss,https://tradingeconomics.com/rss/news.aspx,403,0,,HTTP_ERROR,Forbidden
ci3,reuters_gnews,Reuters via Google News,rss,https://news.google.com/rss/search?q=Iran+site%3Areuters.com&hl=en-US&gl=US&ceid=US%3Aen,200,100,"Sun, 16 Aug 2026 11:34:57 GMT",OK,application/xml
ci3,ap_gnews,AP via Google News,rss,https://news.google.com/rss/search?q=Iran+site%3Aapnews.com&hl=en-US&gl=US&ceid=US%3Aen,200,100,"Sun, 16 Aug 2026 12:45:00 GMT",OK,application/xml
